Отметка времени,Ви працюєте зараз в ІТ?,Де ви мешкаєте?,Де ви працюєте?,Ваша стать,Ваш вік,Яка у вас освіта?,Вкажіть заклад вищої освіти,Знання англійської мови,Оберіть вашу посаду,Ваш тайтл,Вкажіть вашу спеціалізацію,Основна мова програмування,Інші мови програмування,"Фреймворки, бібліотеки та платформи","Платформи, для яких розробляєте на поточному місці роботи?",Ваш тайтл_1,Вкажіть вашу спеціалізацію_2,Яку мову програмування використовуєте у роботі?,Оберіть вашу посаду_3,Ваш тайтл_4,Ваша посада,Ваш тайтл_5,Оберіть вашу посаду_6,Ваш тайтл_7,Ваша посада_8,Ваш тайтл_9,Ваша посада_10,Ваш тайтл_11,Ваша посада_12,Ваш тайтл_13,Ваша посада_14,Ваш тайтл_15,Ваша посада_16,В якій сфері працюєте?,Тип компанії,Кількість спеціалістів у вашій компанії (в Україні),Загальний стаж роботи за спеціальністю,Стаж на поточному місці роботи,У скількох компаніях встигли попрацювати за час ІТ-кар'єри?,"Зарплата у $$$ за місяць, лише ставка після сплати податків",Наскільки змінилась ваша зарплата за останні 12 місяців?,Чи отримуєте ви грошові бонуси до зарплати?,Вкажіть суму цього бонуса у $$$ після податків
07/12/2020 10:10,"Так, працюю full-time",Інше,Віддалено,Чоловік,35,Вища,,Intermediate,"DevOps, SysAdmin",,,,,,,,,,,,,,,,,,,,,,DevOps Engineer,Senior,,Fintech,Продуктова,до 50,5 років,3 місяці,8 і більше,3300,500,"Ні, не отримую",
08/12/2020 15:41,"Так, я фрилансер",Львів,Віддалено,Чоловік,28,Вища,ЛНУ ім. Франка,Upper-Intermediate,"Data Science, Machine Learning, Big Data",,,,,,,,,,,,,,,,,,,,Data Scientist,Middle,,,,E-commerce,Продуктова,Лише я,7 років,Пів року,05-Jul,8000,2000,"Ні, не отримую",
19/12/2020 03:21,"Так, працюю full-time",Одеса,Віддалено,Жінка,28,Вища,ОНУ ім. Мечникова,Upper-Intermediate,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",,,,,,,,,,,,,,,,Product Manager,Senior,,,,,,,,Інша,Стартап,до 10 спеціалістів,5 років,2 роки,03-Apr,9000,3000,"Ні, не отримую",
07/12/2020 10:10,"Так, працюю full-time",Тернопіль,В офісі,Чоловік,35,Вища,Інший виш,Upper-Intermediate,"DevOps, SysAdmin",,,,,,,,,,,,,,,,,,,,,,DevOps Engineer,Middle,,Security,Аутсорсингова,понад 1000,5 років,1 рік,2,1500,0,"Ні, не отримую",
10/12/2020 16:02,"Так, працюю full-time",Київ,Віддалено,Чоловік,30,Вища,КНУ ім. Шевченка,Upper-Intermediate,"Data Science, Machine Learning, Big Data",,,,,,,,,,,,,,,,,,,,Data Scientist,Middle,,,,"Data Science, Geospatial, Hardware",Інша,Лише я,7 років,2 роки,05-Jul,6700,1000,"Ні, не отримую",
29/12/2020 15:32,"Так, працюю full-time",Київ,Віддалено,Чоловік,23,Вища,НаУКМА,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,JavaScript,"Go, Haskell",React.js,Web,,,,,,,,,,,,,,,,,,,Інша,Інша,до 200,5 років,3 роки,03-Apr,10000,5000,Отримую бонус щокварталу,1000
31/12/2020 04:00,"Так, працюю full-time",Київ,Віддалено,Чоловік,30,Вища,КНУ ім. Шевченка,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,PHP,JavaScript,React.js,Web,,,,,,,,,,,,,,,,,,,E-commerce,Продуктова,до 10 спеціалістів,9 років,3 роки,03-Apr,10000,0,"Ні, не отримую",0
08/12/2020 15:46,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,41,Вища,КНУ ім. Шевченка,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Tech Lead,video games,C++,Не використовую,Unreal Engine,"Desktop, Xbox, Playstation",,,,,,,,,,,,,,,,,,,GameDev,Продуктова,до 200,10 і більше років,3 місяці,05-Jul,10000,3500,"Ні, не отримую",0
31/12/2020 09:02,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,33,Вища,НУХТ,Pre-Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Intern/Trainee,Automation QA,Java,,,,,,,,,,,,,,,,"Fintech, Gambling, GameDev",Інша,до 10 спеціалістів,Менше як 3 місяці,Менше як 3 місяці,1,1000,200,"Ні, не отримую",
08/12/2020 20:29,"Так, працюю full-time",Київ,Віддалено,Чоловік,37,Вища,Інший виш,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,Java,"Groovy, JavaScript",Hibernate,Web,,,,,,,,,,,,,,,,,,,Telecom,Продуктова,Лише я,10 і більше років,2 роки,05-Jul,9600,1600,"Ні, не отримую",
07/12/2020 10:12,"Так, працюю full-time",Київ,Віддалено,Чоловік,41,Дві вищих,КНЕУ,Advanced,HR,,,,,,,,,,,,,,HR Business Partner,Head,,,,,,,,,,"Fintech, Travel",Продуктова,до 200,10 і більше років,2 роки,03-Apr,6800,2000,"Ні, не отримую",
08/12/2020 20:21,"Так, працюю full-time",Не Україна,Віддалено,Жінка,36,Вища,Інший виш,Advanced,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Middle,Manual QA,C#,,,,,,,,,,,,,,,,"GameDev, Mobile",Продуктова,до 200,5 років,2 роки,2,3500,200,"Ні, не отримую",
22/12/2020 10:57,"Так, працюю full-time",Київ,Віддалено,Чоловік,24,Вища,ДНУ ім. Гончара,Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Middle,Automation QA,Python,,,,,,,,,,,,,,,,"Fintech, Gambling, GameDev",Продуктова,до 200,3 роки,1 рік,03-Apr,3500,1000,"Ні, не отримую",
07/12/2020 12:27,"Так, працюю full-time",Київ,Віддалено,Чоловік,29,Вища,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Tech Lead,Full-stack,Ruby,JavaScript,"React.js, Ruby on Rails",Web,,,,,,,,,,,,,,,,,,,"Internet of Things, Legal",Стартап,до 10 спеціалістів,9 років,7 років,2,9500,2000,"Ні, не отримую",
07/12/2020 10:29,"Так, працюю full-time",Київ,Віддалено,Чоловік,33,Вища,НТУУ «КПІ»,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Tech Lead,Back-end,C#/.NET,JavaScript,.NET Core,Web,,,,,,,,,,,,,,,,,,,Інша,Продуктова,до 10 спеціалістів,10 і більше років,3 роки,05-Jul,8770,1300,"Ні, не отримую",
09/12/2020 09:46,"Так, працюю full-time",Київ,В офісі,Чоловік,38,Вища,НТУУ «КПІ»,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Tech Lead,gamedev,C++,"C, C#/.NET, Perl",Unreal Engine,"Desktop, consoles",,,,,,,,,,,,,,,,,,,GameDev,Стартап,до 50,10 і більше років,3 місяці,05-Jul,8700,3000,"Ні, не отримую",0
17/12/2020 12:38,"Так, працюю full-time",Київ,Віддалено,Чоловік,37,Вища,ДонНУ ім. Василя Стуса,Advanced,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",,,,,,,,,,,,,,,,Product Manager,Team Lead,,,,,,,,Інша,Продуктова,до 50,10 і більше років,3 роки,05-Jul,8500,2300,"Ні, не отримую",
03/01/2021 12:26,"Так, працюю full-time",Харків,"Частково віддалено, частково в офісі",Чоловік,34,Вища,ХНУРЕ,Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Junior,Manual QA,,,,,,,,,,,,,,,,,ERP,Аутсорсингова,понад 1000,2 роки,2 роки,1,1750,600,"Ні, не отримую",
10/12/2020 10:12,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,24,Середня,НАУ,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Tech Lead,Mobile,Kotlin,"Java, Swift",,"Mobile Android, Mobile iOS",,,,,,,,,,,,,,,,,,,"Medtech, Mobile",Продуктова,до 50,5 років,Менше як 3 місяці,03-Apr,8500,2000,"Ні, не отримую",
22/12/2020 17:52,"Так, працюю full-time",Київ,Віддалено,Жінка,31,Вища,ХНЕУ,Advanced,"Analyst (Business, Data, System)",,,,,,,,,,,,,,,,,,Business Analyst,Senior,,,,,,ERP,Інша,до 10 спеціалістів,5 років,2 роки,2,5500,$500,"Ні, не отримую",
22/12/2020 11:38,"Так, працюю full-time",Київ,Віддалено,Жінка,30,Вища,КНЕУ,Advanced,HR,,,,,,,,,,,,,,HR Director,Head,,,,,,,,,,Інша,Аутсорсингова,до 1000,10 і більше років,1 рік,03-Apr,6000,0,"Ні, не отримую",
07/12/2020 10:10,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Жінка,34,Вища,НТУУ «КПІ»,Advanced,"Data Science, Machine Learning, Big Data",,,,,,,,,,,,,,,,,,,,Data Scientist,Senior,,,,E-commerce,Продуктова,до 50,10 і більше років,3 роки,2,6650,1425,"Ні, не отримую",
07/12/2020 13:35,"Так, працюю full-time",Київ,Віддалено,Чоловік,29,Вища,ОНУ ім. Мечникова,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Team Lead,Back-end,Python,"Go, JavaScript, R",Django,Web,,,,,,,,,,,,,,,,,,,Media,Аутсорсингова,понад 1000,10 і більше років,4 роки,8 і більше,8500,1500,Отримую бонус щомісяця,500
09/12/2020 12:39,"Так, я фрилансер",Київ,Віддалено,Чоловік,34,Вища,НАУ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Mobile,Swift,"Kotlin, Objective-C",,Mobile iOS,,,,,,,,,,,,,,,,,,,Mobile,Аутстафінгова,Лише я,7 років,Пів року,05-Jul,8200,1200,"Ні, не отримую",
08/12/2020 13:58,"Так, працюю full-time",Львів,"Частково віддалено, частково в офісі",Жінка,25,Дві вищих,ЛНУ ім. Франка,Advanced,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Intern/Trainee,Manual QA,Не використовую,,,,,,,,,,,,,,,,"Fintech, Internet of Things, Mobile",Аутсорсингова,до 200,Пів року,Пів року,03-Apr,600,-400,"Ні, не отримую",
08/12/2020 15:57,"Так, працюю full-time",Київ,Віддалено,Чоловік,31,Вища,НТУУ «КПІ»,Advanced,Designer,,,,,,,,,,Product Designer,Team Lead,,,,,,,,,,,,,,Інша,Продуктова,Лише я,6 років,1 рік,03-Apr,7500,7000,"Ні, не отримую",
08/12/2020 10:31,"Так, працюю full-time",Харків,"Частково віддалено, частково в офісі",Чоловік,40,Вища,ХАІ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Architect,Full-stack,TypeScript,"C#/.NET, C++, JavaScript",".NET Core, Express, Node.js",Web,,,,,,,,,,,,,,,,,,,Інша,Продуктова,до 1000,10 і більше років,2 роки,05-Jul,8000,0,"Ні, не отримую",
15/12/2020 18:55,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Жінка,26,Вища,Інший виш,Elementary,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Intern/Trainee,Manual QA,Не використовую,,,,,,,,,,,,,,,,Mobile,Аутсорсингова,до 200,Пів року,Менше як 3 місяці,2,560,50,"Ні, не отримую",
07/12/2020 10:35,"Так, працюю full-time",Київ,Віддалено,Чоловік,40,Вища,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,Scala,Не використовую,,Web,,,,,,,,,,,,,,,,,,,"Data Science, Geospatial, Telecom",Продуктова,до 200,10 і більше років,Пів року,03-Apr,8000,3000,"Ні, не отримую",
07/12/2020 10:26,"Так, працюю full-time",Київ,В офісі,Чоловік,31,Вища,НТУ «Дніпровська політехніка»,Intermediate,HTML Coder,,,,,,,,,,,,,,,,,,,,,,,,,Gambling,Стартап,до 1000,5 років,Пів року,03-Apr,2400,1400,"Ні, не отримую",
21/12/2020 13:22,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,26,Вища,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,Scala,Java,,,,,,,,,,,,,,,,,,,,,E-commerce,Продуктова,до 1000,6 років,2 роки,03-Apr,8000,2000,"Ні, не отримую",
09/12/2020 15:15,"Так, я фрилансер",Київ,Віддалено,Чоловік,29,Вища,НТУУ «КПІ»,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Team Lead,Back-end,PHP,"Go, SQL","Laravel, Node.js, Symfony",Web,,,,,,,,,,,,,,,,,,,"Automotive, E-commerce, Edtech",Продуктова,до 200,9 років,2 роки,05-Jul,8000,3500,"Ні, не отримую",
08/12/2020 15:48,"Так, працюю full-time",Львів,"Частково віддалено, частково в офісі",Чоловік,29,Вища,НУ «Львівська політехніка»,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Team Lead,Back-end,Java,"JavaScript, Kotlin, SQL","Hibernate, jQuery, Spring",Web,,,,,,,,,,,,,,,,,,,E-commerce,Аутсорсингова,до 200,9 років,1 рік,03-Apr,7800,1000,"Ні, не отримую",
11/12/2020 18:22,"Так, працюю full-time",Одеса,Віддалено,Чоловік,34,Вища,ОНПУ,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Architect,Full-stack,Java,"JavaScript, SQL, TypeScript","jQuery, React.js, Spring",Web,,,,,,,,,,,,,,,,,,,"E-commerce, High Load Systems, Інша",Продуктова,до 200,10 і більше років,2 роки,03-Apr,7500,0,"Ні, не отримую",
09/12/2020 10:41,"Так, працюю full-time",Київ,Віддалено,Чоловік,38,Вища,Інший виш,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Tech Lead,Back-end,C++,Не використовую,,"Desktop, Microcontrollers/Embedded/IoT",,,,,,,,,,,,,,,,,,,Telecom,Аутсорсингова,понад 1000,10 і більше років,10 і більше років,03-Apr,7500,1500,Отримую бонус щороку,2000
07/12/2020 10:15,"Так, працюю full-time",Київ,Віддалено,Жінка,26,Вища,Інший виш,Upper-Intermediate,Customer Success,,,,,,,,,,,,,,,,,,,,,,,,,"Adtech, E-commerce",Продуктова,понад 1000,3 роки,3 місяці,2,800,300,Отримую бонус щомісяця,200
22/12/2020 15:25,"Так, працюю full-time",Львів,"Частково віддалено, частково в офісі",Чоловік,35,Вища,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Tech Lead,Full-stack,JavaScript,"Clojure, Go, Haskell","Hadoop, Node.js, Unreal Engine","Web, Mobile cross-platform",,,,,,,,,,,,,,,,,,,"E-commerce, Gambling, GameDev",Аутсорсингова,до 1000,10 і більше років,3 роки,8 і більше,7500,2500,Отримую бонус щокварталу,5000
21/12/2020 20:44,"Так, працюю full-time",Київ,Віддалено,Жінка,25,Вища,НТУУ «КПІ»,Upper-Intermediate,Designer,,,,,,,,,,UI/UX Designer,Senior,,,,,,,,,,,,,,Інша,Аутсорсингова,Лише я,5 років,Пів року,05-Jul,7200,6200,"Ні, не отримую",
12/12/2020 14:37,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,31,Вища,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Team Lead,Back-end,Scala,"Java, Python",Hadoop,Web,,,,,,,,,,,,,,,,,,,Adtech,Продуктова,до 50,10 і більше років,4 роки,05-Jul,7500,0,"Ні, не отримую",
15/12/2020 16:10,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,41,Вища,НТУУ «КПІ»,Advanced,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",,,,,,,,,,,,,,,,Delivery Manager,Team Lead,,,,,,,,"Fintech, Gambling",Аутстафінгова,понад 1000,10 і більше років,5 років,8 і більше,7695,1000,"Ні, не отримую",
07/12/2020 10:29,"Так, працюю full-time",Київ,Віддалено,Чоловік,36,Вища,КНУ ім. Шевченка,Upper-Intermediate,"Data Science, Machine Learning, Big Data",,,,,,,,,,,,,,,,,,,,Data Scientist,Team Lead,,,,Інша,Продуктова,до 10 спеціалістів,3 роки,Пів року,03-Apr,6500,0,"Ні, не отримую",
28/12/2020 16:43,"Так, працюю full-time",Харків,Віддалено,Чоловік,32,Вища,,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,PHP,JavaScript,WordPress,Web,,,,,,,,,,,,,,,,,,,E-commerce,Продуктова,до 10 спеціалістів,10 і більше років,4 роки,03-Apr,7410,300,Отримую бонус щороку,11500
21/12/2020 12:25,"Так, працюю full-time",Харків,"Частково віддалено, частково в офісі",Чоловік,35,Вища,ХНУРЕ,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Architect,Full-stack,TypeScript,"C#/.NET, JavaScript, SQL",".NET Core, Angular/Angular.js","Web, Mobile cross-platform",,,,,,,,,,,,,,,,,,,"Cloud Computing, E-commerce",Продуктова,понад 1000,9 років,4 роки,03-Apr,7370,0,"Ні, не отримую",
20/12/2020 11:36,"Так, працюю full-time",Львів,Віддалено,Чоловік,31,Дві вищих,НУ «Львівська політехніка»,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,JavaScript,TypeScript,"Express, Node.js, React.js",Web,,,,,,,,,,,,,,,,,,,Machine Learning,Стартап,до 10 спеціалістів,5 років,Пів року,05-Jul,7300,-2500,"Ні, не отримую",
11/12/2020 17:34,"Так, працюю full-time",Львів,Віддалено,Чоловік,34,Вища,Інший виш,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,C++,"C, Rust, SQL",,"Desktop, Інша",,,,,,,,,,,,,,,,,,,Security,Продуктова,понад 1000,10 і більше років,6 років,05-Jul,7200,0,"Ні, не отримую",
22/12/2020 16:30,"Так, працюю full-time",Київ,В офісі,Жінка,32,Вища,СумДУ,Intermediate,HR,,,,,,,,,,,,,,HR Director,Head,,,,,,,,,,Інша,Продуктова,до 200,6 років,2 роки,03-Apr,5000,1000,"Ні, не отримую",
07/12/2020 11:38,"Так, працюю full-time",Чернівці,Віддалено,Чоловік,32,Дві вищих,ЧНУ ім. Федьковича,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,JavaScript,TypeScript,"Node.js, React.js",Web,,,,,,,,,,,,,,,,,,,"High Load Systems, Інша",Продуктова,до 50,5 років,Менше як 3 місяці,05-Jul,7100,1100,"Ні, не отримую",
07/12/2020 13:18,"Так, працюю full-time",Київ,Віддалено,Чоловік,39,Вища,НТУ «Дніпровська політехніка»,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,PHP,Java,"Spring, Symfony",Web,,,,,,,,,,,,,,,,,,,Інша,Продуктова,до 50,5 років,3 роки,03-Apr,7100,1000,"Ні, не отримую",
07/12/2020 10:19,"Так, працюю full-time",Київ,Віддалено,Чоловік,25,Вища,НТУУ «КПІ»,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,Rust,"JavaScript, TypeScript","React.js, Ruby on Rails",Web,,,,,,,,,,,,,,,,,,,Edtech,Продуктова,до 50,7 років,1 рік,03-Apr,7000,1500,"Отримую бонус за гарні показники роботи, але нерегулярно",
07/12/2020 10:38,"Так, я фрилансер",Київ,Віддалено,Чоловік,35,Вища,Інший виш,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Front-end,JavaScript,PHP,"Symfony, Vue.js","Web, Mobile Android, Mobile iOS",,,,,,,,,,,,,,,,,,,Інша,Продуктова,понад 1000,10 і більше років,Пів року,8 і більше,7000,900,"Ні, не отримую",
07/12/2020 14:28,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,25,Вища,НТУУ «КПІ»,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,Java,"JavaScript, TypeScript","Hadoop, Spring, Vert.x",Web,,,,,,,,,,,,,,,,,,,Adtech,Продуктова,до 10 спеціалістів,5 років,3 місяці,03-Apr,7000,1000,Отримую бонус щороку,3000
07/12/2020 11:49,"Так, працюю full-time",Київ,Віддалено,Жінка,25,Вища,Інший виш,Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Junior,Automation QA,C#,,,,,,,,,,,,,,,,E-commerce,Аутсорсингова,до 50,2 роки,1 рік,03-Apr,1615,300,"Ні, не отримую",
07/12/2020 16:54,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,31,Дві вищих,КНУ ім. Шевченка,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,TypeScript,SQL,Node.js,Web,,,,,,,,,,,,,,,,,,,Інша,Продуктова,до 10 спеціалістів,9 років,Менше як 3 місяці,8 і більше,7000,1000,"Ні, не отримую",
12/12/2020 18:49,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,25,Вища,ХНУ ім. Каразіна,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,Go,Не використовую,,Web,,,,,,,,,,,,,,,,,,,Cloud Computing,Стартап,до 50,5 років,1 рік,05-Jul,7000,0,Отримую бонус щомісяця,
