Timestamp,Ваша основна зайнятість в ІТ зараз...,"Зарплата / дохід у $$$ за місяць, лише ставка 
ЧИСТИМИ - після сплати податків",Оберіть вашу основну посаду,Ваш тайтл на цій посаді,Вкажіть вашу спеціалізацію - Game Design,Вкажіть вашу спеціалізацію - Sound,Вкажіть вашу спеціалізацію - QA,Оберіть вашу посаду - Design,GameDev розробники - оберіть вашу спеціалізацію,Ваша посада - Marketing,Оберіть вашу посаду - HR,Ваша посада - PM,Ваша посада - Analyst,Ваша посада - DS,Ваша посада - DevOps,Ваша посада - Top management,Ваша спеціалізація - Support,Чи використовуєте ви у своїй роботі мови програмування (одну чи декілька)?,Основна мова програмування,Вкажіть вашу основну спеціалізацію,"В якій сфері проєкт, в якому ви зараз працюєте?","Основний напрям роботи компанії, в якій працюєте",Кількість спеціалістів у вашій компанії (в Україні/з України),Загальний стаж роботи за нинішньою ІТ-спеціальністю,Яка у вас освіта?,Знання англійської мови,Де ви зараз живете? ,В якій області ви зараз живете?,Ваша стать,Ваш вік
12/4/2023 9:12:13,Працюю full-time в ІТ-компанії чи ІТ-відділі,453,Software Engineer / Programmer,Junior,,,,,,,,,,,,,,,Java,Back-end  розробка,Medtech / Healthcare,Продуктова,до 10 спеціалістів,0.5,Середня,Upper-Intermediate,В Україні,Київ чи область,Чоловік,28
12/4/2023 9:12:29,Працюю full-time в ІТ-компанії чи ІТ-відділі,2500,"Project/Product/Program/Delivery/Engineering Manager, Product Owner, Producer, Scrum Master",Middle,,,,,,,,Project Manager,,,,,,"Ні, не використовую",,,Travel,Аутсорсингова,до 1000,3,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Львів чи область,Жінка,25
12/4/2023 9:12:45,Працюю full-time в ІТ-компанії чи ІТ-відділі,2800,"QA / AQA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Senior,,,Manual QA,,,,,,,,,,,"Ні, не використовую",,,Adtech / Advertising,Продуктова,до 50,7,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Житомир чи область,Жінка,34
12/4/2023 9:12:46,Працюю full-time в ІТ-компанії чи ІТ-відділі,4700,Software Engineer / Programmer,Senior,,,,,,,,,,,,,,,TypeScript,Front-end  розробка,Real estate,Аутстафінгова,до 1000,5,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Львів чи область,Чоловік,23
12/4/2023 9:12:46,Працюю full-time в ІТ-компанії чи ІТ-відділі,5500,Software Engineer / Programmer,Senior,,,,,,,,,,,,,,,PHP,Back-end  розробка,"E-commerce, Fintech / Banking / Capital Management",Продуктова,до 1000,9,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Pre-Intermediate,В Україні,Київ чи область,Чоловік,32
12/4/2023 9:12:59,Працюю full-time в ІТ-компанії чи ІТ-відділі,5000,"Data Science, Machine Learning, AI, Big Data, Data Engineer",Senior,,,,,,,,,,Data Scientist,,,,"Так, використовую",Python,"Робота з даними, аналіз даних","Data Science, Machine Learning, Manufacturing",Аутсорсингова,понад 1000,5,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Львів чи область,Чоловік,28
12/4/2023 9:13:31,Працюю full-time в ІТ-компанії чи ІТ-відділі,4000,Software Engineer / Programmer,Senior,,,,,,,,,,,,,,,TypeScript,Front-end  розробка,E-commerce,Аутсорсингова,понад 1000,5,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Львів чи область,Чоловік,30
12/4/2023 9:13:46,Працюю full-time в ІТ-компанії чи ІТ-відділі,3480,HR/Recruiter/Learning and Development,Head,,,,,,,HR Director,,,,,,,,,,ERP,Аутсорсингова,до 200,5,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Київ чи область,Жінка,41
12/4/2023 9:14:04,Працюю full-time в ІТ-компанії чи ІТ-відділі,6800,Software Engineer / Programmer,Senior,,,,,,,,,,,,,,,C# / .NET,Back-end  розробка,Media,Аутстафінгова,понад 1000,13,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Київ чи область,Чоловік,34
12/4/2023 9:14:04,Працюю full-time в ІТ-компанії чи ІТ-відділі,6400,"Data Science, Machine Learning, AI, Big Data, Data Engineer",Senior,,,,,,,,,,Data Engineer / Big Data Engineer,,,,"Так, використовую",Python,"Робота з даними, аналіз даних","Big Data, Machine Learning, Security",Аутстафінгова,до 1000,4,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Київ чи область,Чоловік,28
12/4/2023 9:14:13,Працюю full-time в ІТ-компанії чи ІТ-відділі,1850,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,TypeScript,Front-end  розробка,Інша,Аутсорсингова,до 200,1,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Дніпро чи область,Чоловік,39
12/4/2023 9:14:16,Працюю full-time в ІТ-компанії чи ІТ-відділі,2660,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,Swift,Mobile  розробка,Gambling,Продуктова,понад 1000,2,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Хмельницький чи область,Чоловік,24
12/4/2023 9:14:23,Працюю full-time в ІТ-компанії чи ІТ-відділі,4500,"Project/Product/Program/Delivery/Engineering Manager, Product Owner, Producer, Scrum Master",Senior,,,,,,,,Project Manager,,,,,,"Ні, не використовую",,,Medtech / Healthcare,Аутсорсингова,понад 1000,8,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Advanced,"За кордоном, але планую повернутися",,Чоловік,31
12/4/2023 9:14:36,Працюю full-time в ІТ-компанії чи ІТ-відділі,3500,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,TypeScript,Full Stack розробка,Automotive,Аутсорсингова,понад 1000,6,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Intermediate,В Україні,Одеса чи область,Чоловік,30
12/4/2023 9:14:39,Працюю full-time в ІТ-компанії чи ІТ-відділі,2500,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,JavaScript,Front-end  розробка,Gambling,Продуктова,до 1000,3,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Pre-Intermediate,В Україні,Івано-Франківськ чи область,Чоловік,36
12/4/2023 9:14:56,Працюю full-time в ІТ-компанії чи ІТ-відділі,2300,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,C# / .NET,Back-end  розробка,E-commerce,Продуктова,понад 1000,1.5,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Intermediate,В Україні,Київ чи область,Чоловік,22
12/4/2023 9:15:32,Працюю full-time в ІТ-компанії чи ІТ-відділі,2940,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,F#,Full Stack розробка,Fintech / Banking / Capital Management,Продуктова,до 1000,3,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Кропивницький чи область,Чоловік,22
12/4/2023 9:15:42,Працюю full-time в ІТ-компанії чи ІТ-відділі,6400,Software Engineer / Programmer,Senior,,,,,,,,,,,,,,,JavaScript,Back-end  розробка,E-commerce,Продуктова,понад 1000,7,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Київ чи область,Чоловік,43
12/4/2023 9:16:06,Працюю full-time в ІТ-компанії чи ІТ-відділі,1700,"Designer / Artist (Graphic, Video, UX/UI)",Middle,,,,VFX Artist,,,,,,,,,,,,,GameDev,Продуктова,до 1000,2,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Intermediate,В Україні,Дніпро чи область,Жінка,27
12/4/2023 9:16:11,Працюю full-time в ІТ-компанії чи ІТ-відділі,2760,"QA / AQA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Senior,,,Manual QA,,,,,,,,,,,"Ні, не використовую",,,Medtech / Healthcare,Аутсорсингова,понад 1000,5,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Intermediate,В Україні,Дніпро чи область,Чоловік,36
12/4/2023 9:16:14,Працюю full-time в ІТ-компанії чи ІТ-відділі,4000,HR/Recruiter/Learning and Development,Senior,,,,,,,Recruiter,,,,,,,,,,"Fintech / Banking / Capital Management, Internet of Things",Інша,до 10 спеціалістів,13,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Advanced,"За кордоном, але планую повернутися",,Чоловік,38
12/4/2023 9:16:44,Працюю full-time в ІТ-компанії чи ІТ-відділі,3515,ERP/CRM,Senior,,,,,,,,,,,,,,"Так, використовую",X++ / D365,Back-end  розробка,ERP,Аутстафінгова,до 200,7,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Київ чи область,Чоловік,35
12/4/2023 9:17:14,Працюю full-time в ІТ-компанії чи ІТ-відділі,5000,"Analyst (Business, Data, System etc)",Team Lead,,,,,,,,,Business Analyst,,,,,"Так, використовую",SQL,Інше,Fintech / Banking / Capital Management,Аутсорсингова,понад 1000,10,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,"За кордоном, але планую повернутися",,Чоловік,42
12/4/2023 9:17:20,Працюю full-time в ІТ-компанії чи ІТ-відділі,6000,Software Engineer / Programmer,Senior,,,,,,,,,,,,,,,TypeScript,Front-end  розробка,Fintech / Banking / Capital Management,Продуктова,до 200,7,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Intermediate,В Україні,Львів чи область,Чоловік,29
12/4/2023 9:17:22,Працюю full-time в ІТ-компанії чи ІТ-відділі,10000,Software Engineer / Programmer,Architect,,,,,,,,,,,,,,,TypeScript,Back-end  розробка,Fintech / Banking / Capital Management,Стартап,Лише я / фріланс,4,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Advanced,В Україні,Львів чи область,Чоловік,35
12/4/2023 9:17:23,Працюю full-time в ІТ-компанії чи ІТ-відділі,1300,Software Engineer / Programmer,Junior,,,,,,,,,,,,,,,JavaScript,Full Stack розробка,Medtech / Healthcare,Аутсорсингова,до 50,2,Незакінчена вища,Intermediate,В Україні,Івано-Франківськ чи область,Жінка,22
12/4/2023 9:17:25,Працюю full-time в ІТ-компанії чи ІТ-відділі,6600,Software Engineer / Programmer,Senior,,,,,,,,,,,,,,,TypeScript,Front-end  розробка,E-commerce,Аутстафінгова,до 200,7,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Київ чи область,Чоловік,29
12/4/2023 9:17:27,Працюю full-time в ІТ-компанії чи ІТ-відділі,11900,"Project/Product/Program/Delivery/Engineering Manager, Product Owner, Producer, Scrum Master",Manager,,,,,,,,Engineering Manager,,,,,,"Ні, не використовую",,,"Blockchain, Telecom",Продуктова,до 50,14,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Advanced,В Україні,Київ чи область,Чоловік,37
12/4/2023 9:17:59,Втратив(-ла) роботу в ІТ і шукаю нову,1200,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,TypeScript,Front-end  розробка,E-commerce,Аутстафінгова,до 50,3,Ще студент вишу,Advanced,В Україні,Львів чи область,Чоловік,27
12/4/2023 9:18:13,Працюю full-time в ІТ-компанії чи ІТ-відділі,4000,"QA / AQA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Senior,,,Manual QA,,,,,,,,,,,"Так, використовую",JavaScript,QA,Retail,Аутсорсингова,до 1000,10,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Advanced,В Україні,Київ чи область,Жінка,34
12/4/2023 9:18:24,Працюю full-time в ІТ-компанії чи ІТ-відділі,4000,"Analyst (Business, Data, System etc)",Senior,,,,,,,,,Business Analyst,,,,,"Ні, не використовую",,,Fintech / Banking / Capital Management,Стартап,до 50,5,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Київ чи область,Чоловік,29
12/4/2023 9:18:45,Працюю full-time в ІТ-компанії чи ІТ-відділі,8000,Software Engineer / Programmer,Senior,,,,,,,,,,,,,,,PHP,Back-end  розробка,Fintech / Banking / Capital Management,Продуктова,до 10 спеціалістів,3,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,"За кордоном, але планую повернутися",,Чоловік,31
12/4/2023 9:20:23,Втратив(-ла) роботу в ІТ і шукаю нову,4750,Software Engineer / Programmer,Senior,,,,,,,,,,,,,,,Kotlin,Mobile  розробка,"Dating, Mobile",Продуктова,до 200,9,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Київ чи область,Чоловік,31
12/4/2023 9:20:45,Працюю full-time в ІТ-компанії чи ІТ-відділі,4800,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,C# / .NET,Full Stack розробка,"ERP, Fintech / Banking / Capital Management",Продуктова,до 10 спеціалістів,2,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Advanced,"За кордоном, але планую повернутися",,Чоловік,25
12/4/2023 9:20:55,Працюю full-time в ІТ-компанії чи ІТ-відділі,3900,"QA / AQA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Team Lead,,,Automation QA,,,,,,,,,,,"Так, використовую",C# / .NET,QA,Embedded,Аутстафінгова,понад 1000,6,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Дніпро чи область,Чоловік,38
12/4/2023 9:21:19,Працюю full-time в ІТ-компанії чи ІТ-відділі,3000,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,PHP,Back-end  розробка,"Geospatial, Mobile, Інша",Продуктова,до 1000,3,Незакінчена вища,Intermediate,В Україні,Київ чи область,Чоловік,29
12/4/2023 9:21:40,Працюю full-time в ІТ-компанії чи ІТ-відділі,2000,Software Engineer / Programmer,Senior,,,,,,,,,,,,,,,1С,Full Stack розробка,ERP,Продуктова,до 10 спеціалістів,10,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Elementary,В Україні,Львів чи область,Чоловік,34
12/4/2023 9:21:41,Працюю full-time в ІТ-компанії чи ІТ-відділі,1250,"Support (Customer, Technical, Community)",Немає тайтлу,,,,,,,,,,,,,Technical Support,"Так, використовую",JavaScript,Інше,Інша,Продуктова,до 1000,3,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Київ чи область,Чоловік,25
12/4/2023 9:22:02,Працюю full-time в ІТ-компанії чи ІТ-відділі,1900,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,1С,BI-розробка,E-commerce,Продуктова,до 1000,6,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Elementary,В Україні,Чернівці чи область,Чоловік,28
12/4/2023 9:22:48,Працюю full-time в ІТ-компанії чи ІТ-відділі,1000,"QA / AQA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Middle,,,Manual QA,,,,,,,,,,,"Ні, не використовую",,,Retail,Аутсорсингова,понад 1000,2,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Черкаси чи область,Жінка,34
12/4/2023 9:23:31,Працюю full-time в ІТ-компанії чи ІТ-відділі,2850,"QA / AQA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Middle,,,Automation QA,,,,,,,,,,,"Так, використовую",Kotlin,QA,"Blockchain, Fintech / Banking / Capital Management, Logistics",Аутсорсингова,понад 1000,3,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Intermediate,В Україні,Одеса чи область,Чоловік,41
12/4/2023 9:24:03,Я фрилансер(-ка) в ІТ,3500,Software Engineer / Programmer,Senior,,,,,,,,,,,,,,,TypeScript,Full Stack розробка,Edtech / Education,Фріланс,Лише я / фріланс,3,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Intermediate,В Україні,Ужгород чи Закарпатська область,Чоловік,30
12/4/2023 9:26:32,Працюю full-time в ІТ-компанії чи ІТ-відділі,1200,HR/Recruiter/Learning and Development,Middle,,,,,,,HR Marketing Specialist,,,,,,,,,,Інша,Аутсорсингова,до 200,4,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Чернівці чи область,Жінка,26
12/4/2023 9:26:58,Працюю full-time в ІТ-компанії чи ІТ-відділі,6675,Software Engineer / Programmer,Senior,,,,,,,,,,,,,,,TypeScript,Full Stack розробка,Інша,Стартап,до 10 спеціалістів,4,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Київ чи область,Чоловік,23
12/4/2023 9:27:11,Працюю full-time в ІТ-компанії чи ІТ-відділі,1850,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,C++,Інше,"AR/VR, Automotive",Продуктова,до 1000,3,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Житомир чи область,Жінка,25
12/4/2023 9:27:37,Працюю full-time в ІТ-компанії чи ІТ-відділі,3500,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,Python,Back-end  розробка,E-commerce,Продуктова,до 1000,4,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Intermediate,В Україні,Чернігів чи область,Чоловік,27
12/4/2023 9:27:40,Працюю full-time в ІТ-компанії чи ІТ-відділі,2600,"Project/Product/Program/Delivery/Engineering Manager, Product Owner, Producer, Scrum Master",Middle,,,,,,,,Project Manager,,,,,,"Ні, не використовую",,,"Fintech / Banking / Capital Management, Mobile",Аутсорсингова,до 200,4,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Advanced,"За кордоном, але планую повернутися",,Жінка,26
12/4/2023 9:29:11,Працюю part-time в ІТ-компанії чи ІТ-відділі,1900,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,Java,Інше,Manufacturing,Аутсорсингова,до 50,4,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Intermediate,В Україні,Київ чи область,Жінка,32
12/4/2023 9:29:16,Працюю full-time в ІТ-компанії чи ІТ-відділі,5500,"Data Science, Machine Learning, AI, Big Data, Data Engineer",Head,,,,,,,,,,Machine / Deep Learning Engineer,,,,"Так, використовую",Python,"Робота з даними, аналіз даних","Big Data, Data Science, Fintech / Banking / Capital Management",Продуктова,до 50,15,"Науковий ступінь (кандидат / доктор наук, PhD)",Upper-Intermediate,В Україні,Ужгород чи Закарпатська область,Чоловік,50
12/4/2023 9:29:24,Працюю full-time в ІТ-компанії чи ІТ-відділі,4000,"Project/Product/Program/Delivery/Engineering Manager, Product Owner, Producer, Scrum Master",Tech Lead,,,,,,,,Program Manager,,,,,,"Ні, не використовую",,,ERP,Аутсорсингова,понад 1000,14,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,"За кордоном, але планую повернутися",,Чоловік,38
12/4/2023 9:30:13,Працюю full-time в ІТ-компанії чи ІТ-відділі,500,"Analyst (Business, Data, System etc)",Junior,,,,,,,,,Data Analyst,,,,,"Так, використовую",Python,"Робота з даними, аналіз даних","Big Data, Data Science",Інша,до 200,0.5,Ще студент вишу,Upper-Intermediate,В Україні,Київ чи область,Жінка,19
12/4/2023 9:30:21,Працюю full-time в ІТ-компанії чи ІТ-відділі,4300,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,C# / .NET,Back-end  розробка,Інша,Аутсорсингова,до 1000,15,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Київ чи область,Жінка,44
12/4/2023 9:30:40,Працюю full-time в ІТ-компанії чи ІТ-відділі,5650,Software Engineer / Programmer,Tech Lead,,,,,,,,,,,,,,,C# / .NET,Back-end  розробка,Medtech / Healthcare,Аутсорсингова,до 200,15,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Одеса чи область,Чоловік,41
12/4/2023 9:31:00,Працюю full-time в ІТ-компанії чи ІТ-відділі,5800,Software Engineer / Programmer,Senior,,,,,,,,,,,,,,,JavaScript,Full Stack розробка,Fintech / Banking / Capital Management,Аутсорсингова,понад 1000,15,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Intermediate,В Україні,Чернігів чи область,Чоловік,50
12/4/2023 9:31:24,Працюю full-time в ІТ-компанії чи ІТ-відділі,5600,Software Engineer / Programmer,Team Lead,,,,,,,,,,,,,,,Java,Full Stack розробка,Real estate,Аутсорсингова,понад 1000,3,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Чернівці чи область,Чоловік,33
12/4/2023 9:31:41,Працюю full-time в ІТ-компанії чи ІТ-відділі,3500,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,Java,Back-end  розробка,Gambling,Продуктова,до 1000,3,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Львів чи область,Чоловік,23
12/4/2023 9:32:23,Працюю full-time в ІТ-компанії чи ІТ-відділі,950,Software Engineer / Programmer,Junior,,,,,,,,,,,,,,,JavaScript,Front-end  розробка,Logistics,Продуктова,до 50,1,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Київ чи область,Чоловік,28
12/4/2023 9:33:44,Працюю full-time в ІТ-компанії чи ІТ-відділі,2000,"QA / AQA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Middle,,,Manual QA,,,,,,,,,,,"Так, використовую",Kotlin,QA,Інша,Стартап,до 50,2,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Pre-Intermediate,В Україні,Київ чи область,Жінка,24
12/4/2023 9:33:51,Зараз на повністю оплачуваному бенчі в ІТ-компанії,1000,Software Engineer / Programmer,Junior,,,,,,,,,,,,,,,JavaScript,Front-end  розробка,E-commerce,Аутстафінгова,до 200,1,Ще студент вишу,Intermediate,В Україні,Львів чи область,Чоловік,19
12/4/2023 9:34:01,Працюю full-time в ІТ-компанії чи ІТ-відділі,1800,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,JavaScript,Front-end  розробка,"Data Science, Medtech / Healthcare",Аутсорсингова,до 200,4,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Pre-Intermediate,В Україні,Львів чи область,Чоловік,40
12/4/2023 9:34:44,Працюю full-time в ІТ-компанії чи ІТ-відділі,1375,Software Engineer / Programmer,Junior,,,,,,,,,,,,,,,C# / .NET,Інше,GameDev,Продуктова,до 50,2,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Львів чи область,Чоловік,22
12/4/2023 9:34:47,Працюю full-time в ІТ-компанії чи ІТ-відділі,6000,"QA / AQA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Team Lead,,,General QA,,,,,,,,,,,"Так, використовую",Python,QA,"Internet of Things, Machine Learning, Security",Продуктова,понад 1000,8,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Київ чи область,Чоловік,28
