timestamp,Ваша основна зайнятість в ІТ зараз...,"Зарплата / дохід в IT у $$$ за місяць, лише ставка ЧИСТИМИ - після сплати податків",Оберіть ваш тайтл або роль у компанії,Categories,Position,Розробники -  основна спеціалізація,programming_language,"Основний напрям роботи компанії, в якій працюєте",Загальний стаж роботи за нинішньою ІТ-спеціальністю,english_level,Де ви зараз живете?,В якій області ви зараз живете?,male
22/11/2024 16:16,Працюю full-time,5200.0,Senior,SE,Software Engineer / Software Developer,Back-end  розробка,PHP,Аутстафінгова,9.0,6,"За кордоном, не планую повертатися",,0
22/11/2024 16:17,Працюю full-time,4100.0,Middle,SE,Software Engineer / Software Developer,Full Stack розробка,C# / .NET,Продуктова,6.0,5,В Україні,Дніпро чи область,0
22/11/2024 16:17,Працюю full-time,2500.0,Junior,Product Mgmt,Product Manager,,,Продуктова,2.0,6,В Україні,Миколаїв чи область,0
22/11/2024 16:18,Працюю full-time,2900.0,Lead/Team Lead,QA,General QA,,,Продуктова,6.0,5,В Україні,Рівне чи область,0
22/11/2024 16:18,Працюю full-time,2700.0,Middle,Analyst,BA (Business Analyst),,,Аутстафінгова,5.0,6,В Україні,Київ чи область,0
22/11/2024 16:19,Працюю full-time,5000.0,Lead/Team Lead,Analyst,Product Analyst,,,Продуктова,3.0,6,В Україні,Київ чи область,0
22/11/2024 16:20,Працюю full-time,2000.0,Middle,SE,Software Engineer / Software Developer,Front-end  розробка,TypeScript,Продуктова,4.0,5,В Україні,Луцьк чи Волинська область,0
22/11/2024 16:20,Працюю full-time,3000.0,Middle,Analyst,Product Analyst,,Python,Продуктова,3.0,4,В Україні,Київ чи область,0
22/11/2024 16:21,Працюю full-time,2000.0,Middle,Project Mgmt,Project Manager,,,Сервісна (аутсорсингова),5.0,5,В Україні,Київ чи область,0
22/11/2024 16:23,Працюю full-time,560.0,Junior,SE,Software Engineer / Software Developer,Back-end  розробка,C# / .NET,Сервісна (аутсорсингова),0.5,4,В Україні,Івано-Франківськ чи область,0
22/11/2024 16:24,Працюю full-time,3600.0,Middle,SE,Software Engineer / Software Developer,Full Stack розробка,TypeScript,Продуктова,4.0,6,"За кордоном, але планую повернутися",,0
22/11/2024 16:26,Працюю full-time,4700.0,Senior,SE,Software Engineer / Software Developer,Back-end  розробка,Java,Аутстафінгова,6.0,5,В Україні,Київ чи область,0
22/11/2024 16:26,Працюю full-time,900.0,Junior,SE,Software Engineer / Software Developer,Back-end  розробка,Go,Сервісна (аутсорсингова),1.0,6,В Україні,Київ чи область,0
22/11/2024 16:27,Працюю full-time,5000.0,Middle,SE,Software Engineer / Software Developer,Front-end  розробка,TypeScript,Продуктова,5.0,5,В Україні,Івано-Франківськ чи область,0
22/11/2024 16:27,Працюю full-time,4300.0,Senior,SE,Software Engineer / Software Developer,Full Stack розробка,PHP,Продуктова,10.0,4,В Україні,Київ чи область,0
22/11/2024 16:27,Працюю full-time,2305.0,Middle,Analyst,Data Analyst,,Python,Інша,4.0,5,В Україні,Київ чи область,0
22/11/2024 16:27,Працюю full-time,3386.0,Middle,QA,Manual QA,,,Продуктова,5.0,5,В Україні,Львів чи область,0
22/11/2024 16:30,Працюю full-time,1500.0,Middle,SE,Software Engineer / Software Developer,Mobile розробка,TypeScript,Сервісна (аутсорсингова),2.0,4,В Україні,Київ чи область,0
22/11/2024 16:31,Працюю full-time,1300.0,Middle,QA,Manual QA,,,Сервісна (аутсорсингова),3.0,5,В Україні,Івано-Франківськ чи область,0
22/11/2024 16:32,Працюю full-time,2050.0,Middle,SE,Software Engineer / Software Developer,Full Stack розробка,C# / .NET,Сервісна (аутсорсингова),2.0,5,В Україні,Хмельницький чи область,0
22/11/2024 16:36,Працюю full-time,2000.0,Lead/Team Lead,Brand,Content Manager / Content Marketing Manager,,,Продуктова,7.0,6,В Україні,Київ чи область,0
22/11/2024 16:36,Працюю part-time,1600.0,Junior,DS,ML Engineer,,Python,Стартап,1.5,5,В Україні,Житомир чи область,0
22/11/2024 16:38,Працюю part-time,1950.0,Middle,SE,Software Engineer / Software Developer,Front-end  розробка,JavaScript,Сервісна (аутсорсингова),5.0,3,В Україні,Львів чи область,0
22/11/2024 16:39,Працюю full-time,2400.0,Senior,SE,Software Engineer / Software Developer,Front-end  розробка,JavaScript,Продуктова,7.0,5,В Україні,Тернопіль чи область,0
22/11/2024 16:41,Працюю full-time,3900.0,Senior,SE,Software Engineer / Software Developer,Desktop,C# / .NET,Сервісна (аутсорсингова),7.0,5,В Україні,Київ чи область,0
22/11/2024 16:42,Працюю full-time,5600.0,Tech Lead,SE,Software Engineer / Software Developer,Full Stack розробка,C# / .NET,Продуктова,6.0,5,В Україні,Кропивницький чи область,0
22/11/2024 16:43,Працюю full-time,2620.0,Senior,SE,Software Engineer / Software Developer,,Python,Сервісна (аутсорсингова),4.0,5,В Україні,Львів чи область,0
22/11/2024 16:44,Працюю full-time,1400.0,Senior,Brand,Content Manager / Content Marketing Manager,,,Продуктова,6.0,6,"За кордоном, не планую повертатися",,0
22/11/2024 16:44,Працюю full-time,1700.0,Junior,DevOps,DevOps Engineer,,Python,Сервісна (аутсорсингова),4.0,4,В Україні,Луцьк чи Волинська область,0
22/11/2024 16:44,Працюю full-time,2700.0,Middle,SE,Software Engineer / Software Developer,Back-end  розробка,C# / .NET,Продуктова,4.0,5,В Україні,Київ чи область,0
22/11/2024 16:47,Працюю full-time,8000.0,Head,Analyst,Head of Analytics,,Python,Продуктова,7.0,6,В Україні,Полтава чи область,0
22/11/2024 16:49,Працюю full-time,1500.0,Junior,SE,Software Engineer / Software Developer,Back-end  розробка,Kotlin,Продуктова,1.0,5,В Україні,Київ чи область,0
22/11/2024 16:50,Працюю full-time,3850.0,Middle,SE,Software Engineer / Software Developer,Mobile розробка,Kotlin,Продуктова,4.0,5,В Україні,Львів чи область,0
22/11/2024 16:50,Працюю full-time,3300.0,Lead/Team Lead,QA,Manual QA,,,Сервісна (аутсорсингова),10.0,5,"За кордоном, не планую повертатися",,0
22/11/2024 16:55,Працюю full-time,5000.0,Tech Lead,,Nous Technology Group,,PHP,Продуктова,3.0,6,"За кордоном, не планую повертатися",,0
22/11/2024 16:57,Працюю full-time,2350.0,Senior,SE,Software Engineer / Software Developer,Mobile розробка,Kotlin,Продуктова,5.0,5,В Україні,Київ чи область,0
22/11/2024 16:57,Працюю full-time,2300.0,Middle,QA,Automation QA / AQA,,TypeScript,Продуктова,3.0,4,"За кордоном, не планую повертатися",,0
22/11/2024 16:58,Працюю full-time,2660.0,Middle,SE,Software Engineer / Software Developer,Embedded,C,Сервісна (аутсорсингова),4.0,4,В Україні,Львів чи область,0
22/11/2024 16:59,Працюю full-time,4000.0,Middle,SE,Software Engineer / Software Developer,Mobile розробка,Kotlin,Продуктова,5.0,6,В Україні,Львів чи область,0
22/11/2024 17:04,Працюю full-time,8000.0,Немає тайтлу,DevOps,DevOps Engineer,,Scala,Продуктова,5.0,5,"За кордоном, але планую повернутися",,0
22/11/2024 17:06,Працюю full-time,5000.0,Senior,SE,Software Engineer / Software Developer,Back-end  розробка,C++,Продуктова,8.0,5,В Україні,Київ чи область,0
22/11/2024 17:06,Працюю full-time,3200.0,Senior,Marketing,PPC Specialist,,,Продуктова,8.0,5,В Україні,Київ чи область,0
22/11/2024 17:08,Працюю full-time,700.0,Немає тайтлу,HR,Recruiter / Recruitment Specialist / Technical Recruiter,,,Продуктова,3.0,3,В Україні,Львів чи область,0
22/11/2024 17:08,Працюю full-time,4100.0,Lead/Team Lead,DS,AI Engineer,,Python,Сервісна (аутсорсингова),5.0,5,"За кордоном, але планую повернутися",,0
22/11/2024 17:09,Працюю full-time,2427.0,Senior,SE,Software Engineer / Software Developer,Embedded,C,Сервісна (аутсорсингова),5.0,4,В Україні,Львів чи область,0
22/11/2024 17:12,Працюю full-time,3000.0,Principal,Project Mgmt,Delivery Manager,,,Продуктова,5.0,5,В Україні,Одеса чи область,0
22/11/2024 17:13,Працюю full-time,3000.0,Middle,SE,Software Engineer / Software Developer,Back-end  розробка,TypeScript,Сервісна (аутсорсингова),2.0,5,"За кордоном, але планую повернутися",,0
22/11/2024 17:13,Працюю full-time,4200.0,Senior,QA,Manual QA,,,Продуктова,10.0,5,В Україні,Київ чи область,0
22/11/2024 17:19,Працюю full-time,1000.0,Middle,QA,Manual QA,,,Продуктова,2.0,4,В Україні,Київ чи область,0
22/11/2024 17:26,Працюю full-time,3000.0,Senior,SE,Software Engineer / Software Developer,Front-end  розробка,TypeScript,Продуктова,4.0,4,В Україні,Львів чи область,0
22/11/2024 17:28,Працюю full-time,4275.0,Senior,SE,Software Engineer / Software Developer,Back-end  розробка,Java,Сервісна (аутсорсингова),9.0,6,В Україні,Київ чи область,0
22/11/2024 17:34,Працюю part-time,250.0,Intern/Trainee,,Research Scientist,,Python,Продуктова,0.5,6,В Україні,Львів чи область,0
22/11/2024 17:37,Працюю full-time,3800.0,Middle,SE,Software Engineer / Software Developer,Mobile розробка,Kotlin,Продуктова,4.0,5,В Україні,Київ чи область,0
22/11/2024 17:40,Працюю full-time,5530.0,Senior,SE,Software Engineer / Software Developer,Full Stack розробка,JavaScript,Продуктова,4.0,5,В Україні,Львів чи область,0
22/11/2024 17:40,Працюю full-time,1200.0,Middle,Brand,Community Manager,,,Продуктова,1.5,6,В Україні,Київ чи область,0
22/11/2024 17:42,Працюю full-time,2650.0,Немає тайтлу,Marketing,Product Marketing Manager,,,Продуктова,6.0,6,В Україні,Київ чи область,0
22/11/2024 17:43,Працюю full-time,1500.0,Junior,DS,Data Scientist,,Python,Сервісна (аутсорсингова),0.1,4,В Україні,Кропивницький чи область,0
22/11/2024 17:45,Працюю full-time,1900.0,Немає тайтлу,HR,Talent Acquisition Manager/Talent Acquisition Specialist,,,Продуктова,4.0,4,"За кордоном, але планую повернутися",,0
22/11/2024 17:46,Працюю full-time,2700.0,Middle,SE,Software Engineer / Software Developer,Full Stack розробка,C# / .NET,Продуктова,4.0,3,В Україні,Рівне чи область,0
22/11/2024 17:49,Працюю full-time,5000.0,Senior,DevOps,DevOps Engineer,,Python,Продуктова,6.0,5,В Україні,Київ чи область,0
22/11/2024 17:54,Працюю full-time,4000.0,Senior,Analyst,BA (Business Analyst),,,Сервісна (аутсорсингова),8.0,5,В Україні,Дніпро чи область,0
22/11/2024 17:54,Працюю full-time,4427.0,Head,"UI/UX, Product Design",Head of Product Design,,,Продуктова,10.0,6,В Україні,Київ чи область,0
22/11/2024 17:55,Працюю full-time,1000.0,Junior,"UI/UX, Product Design",UI/UX Designer,,,Сервісна (аутсорсингова),2.0,5,В Україні,Львів чи область,0
22/11/2024 17:57,Працюю full-time,1750.0,Middle,HR,Talent Acquisition Manager/Talent Acquisition Specialist,,,Продуктова,5.0,4,В Україні,Київ чи область,0
22/11/2024 17:58,Працюю full-time,3750.0,Middle,SE,Software Engineer / Software Developer,Full Stack розробка,TypeScript,Сервісна (аутсорсингова),3.0,5,В Україні,Львів чи область,0
22/11/2024 18:03,Працюю full-time,1300.0,Senior,Analyst,BA (Business Analyst),,SQL,Державне підприємство / установа,6.0,3,В Україні,Дніпро чи область,0
22/11/2024 18:03,Втратив(-ла) роботу і шукаю нову,2500.0,Middle,DevOps,DevOps Engineer,,Python,Сервісна (аутсорсингова),3.0,5,В Україні,Львів чи область,0
22/11/2024 18:04,Працюю full-time,4000.0,Senior,SE,Software Engineer / Software Developer,Front-end  розробка,TypeScript,Продуктова,6.0,5,"За кордоном, не планую повертатися",,0
22/11/2024 18:09,Працюю full-time,1350.0,Middle,HR,HR Manager / HR specialist,,,Продуктова,5.0,3,В Україні,Київ чи область,0
22/11/2024 18:14,Втратив(-ла) роботу і шукаю нову,1250.0,Middle,SE,Software Engineer / Software Developer,,C# / .NET,Аутстафінгова,3.0,2,В Україні,Київ чи область,0
22/11/2024 18:18,Працюю full-time,900.0,Немає тайтлу,HR,Learning and Development / Training and Development,,,Продуктова,2.0,6,"За кордоном, не планую повертатися",,0
22/11/2024 18:33,Працюю full-time,2000.0,Middle,Analyst,BA (Business Analyst),,,Сервісна (аутсорсингова),3.0,5,В Україні,Київ чи область,0
22/11/2024 18:35,Працюю full-time,1570.0,Middle,SE,Software Engineer / Software Developer,Back-end  розробка,PHP,Продуктова,3.0,4,В Україні,Рівне чи область,0
22/11/2024 18:44,Працюю full-time,4800.0,Senior,Product Mgmt,Product Owner (у продакт менеджменті),,,Продуктова,9.0,6,"За кордоном, не планую повертатися",,0
22/11/2024 18:53,Працюю full-time,9400.0,Senior,SE,Software Engineer / Software Developer,Back-end  розробка,C# / .NET,Продуктова,6.0,5,"За кордоном, не планую повертатися",,0
22/11/2024 18:59,Працюю full-time,5500.0,Head,Project Mgmt,Head of Delivery,,,Продуктова,1.5,3,В Україні,Київ чи область,0
22/11/2024 19:05,Працюю full-time,11000.0,Senior,SE,Software Engineer / Software Developer,Back-end  розробка,TypeScript,Продуктова,7.0,5,В Україні,Київ чи область,0
22/11/2024 19:13,Працюю full-time,6000.0,Lead/Team Lead,SE,Software Engineer / Software Developer,Front-end  розробка,JavaScript,Сервісна (аутсорсингова),10.0,5,В Україні,Харків чи область,0
22/11/2024 19:17,Працюю full-time,2000.0,Middle,SE,Software Engineer / Software Developer,Back-end  розробка,C++,Продуктова,4.0,3,В Україні,Київ чи область,0
22/11/2024 19:22,Працюю full-time,2250.0,Senior,SE,Software Engineer / Software Developer,Full Stack розробка,1С,Інша,15.0,4,"За кордоном, але планую повернутися",,0
22/11/2024 19:28,Працюю full-time,4400.0,Senior,SE,Software Engineer / Software Developer,Front-end  розробка,TypeScript,Аутстафінгова,12.0,5,В Україні,Чернівці чи область,0
22/11/2024 19:30,Працюю full-time,4750.0,Senior,SE,Software Engineer / Software Developer,Back-end  розробка,Java,Аутстафінгова,12.0,5,В Україні,Вінниця чи область,0
22/11/2024 19:36,Працюю full-time,6500.0,Senior,SE,Software Engineer / Software Developer,Mobile розробка,Kotlin,Продуктова,7.0,5,В Україні,Львів чи область,0
22/11/2024 19:37,Працюю full-time,8500.0,Senior,SE,Software Engineer / Software Developer,Back-end  розробка,Python,Аутстафінгова,9.0,5,В Україні,Київ чи область,0
22/11/2024 19:41,Втратив(-ла) роботу і шукаю нову,3500.0,Middle,Product Mgmt,Product Manager,,,Стартап,4.0,5,В Україні,Київ чи область,0
22/11/2024 19:48,Працюю full-time,1500.0,Middle,SE,Software Engineer / Software Developer,Front-end  розробка,TypeScript,Сервісна (аутсорсингова),4.0,5,В Україні,Луцьк чи Волинська область,0
22/11/2024 19:49,Працюю full-time,2050.0,Middle,SE,Software Engineer / Software Developer,Mobile розробка,Dart,Сервісна (аутсорсингова),8.0,4,"За кордоном, не планую повертатися",,0
22/11/2024 19:55,Працюю full-time,1300.0,Junior,SE,Software Engineer / Software Developer,Full Stack розробка,C# / .NET,Сервісна (аутсорсингова),2.0,5,В Україні,Львів чи область,0
22/11/2024 19:59,Працюю full-time,1120.0,Junior,QA,Manual QA,,,Стартап,2.0,4,В Україні,Львів чи область,0
22/11/2024 20:03,Працюю full-time,1450.0,Middle,SE,Software Engineer / Software Developer,Front-end  розробка,TypeScript,Сервісна (аутсорсингова),3.0,4,В Україні,Дніпро чи область,0
22/11/2024 20:10,Працюю full-time,6000.0,Senior,SE,Software Engineer / Software Developer,Back-end  розробка,Java,Сервісна (аутсорсингова),14.0,5,В Україні,Львів чи область,0
22/11/2024 20:18,Працюю full-time,3500.0,Middle,QA,Automation QA / AQA,,JavaScript,Продуктова,6.0,5,В Україні,Київ чи область,0
22/11/2024 20:21,Працюю full-time,3500.0,Senior,QA,Manual QA,,C# / .NET,Продуктова,11.0,5,В Україні,Київ чи область,0
22/11/2024 20:33,Працюю full-time,4000.0,Lead/Team Lead,SE,Software Engineer / Software Developer,Front-end  розробка,TypeScript,Сервісна (аутсорсингова),7.0,5,В Україні,Львів чи область,0
22/11/2024 20:36,Працюю full-time,4000.0,Senior,QA,Manual QA,,,Продуктова,7.0,4,В Україні,Київ чи область,0
22/11/2024 20:52,Працюю full-time,1200.0,Middle,QA,Manual QA,,JavaScript,Продуктова,3.0,5,"За кордоном, не планую повертатися",,0
22/11/2024 20:53,Працюю full-time,1700.0,Middle,SE,Software Engineer / Software Developer,Front-end  розробка,TypeScript,Сервісна (аутсорсингова),3.0,3,В Україні,Дніпро чи область,0
22/11/2024 20:57,Працюю full-time,2000.0,Senior,"UI/UX, Product Design",UI/UX Designer,,,Продуктова,5.0,3,В Україні,Київ чи область,0
22/11/2024 21:01,Працюю full-time,967.0,Junior,Product Mgmt,Product Manager,,,Продуктова,2.0,2,В Україні,Ужгород чи Закарпатська область,0
22/11/2024 21:07,Працюю full-time,3800.0,Senior,QA,Manual QA,,,Продуктова,10.0,6,"За кордоном, не планую повертатися",,0
22/11/2024 21:10,Працюю full-time,2000.0,Senior,Office manager / Admin / Assistant,Procurement,,,Продуктова,15.0,6,В Україні,Рівне чи область,0
22/11/2024 22:03,Працюю full-time,2400.0,Middle,Marketing,Product Marketing Manager,,,Продуктова,2.0,6,В Україні,Івано-Франківськ чи область,0
22/11/2024 22:36,Працюю full-time,2800.0,Senior,QA,Manual QA,,,Продуктова,5.0,4,В Україні,Київ чи область,0
22/11/2024 22:37,Працюю full-time,3550.0,Lead/Team Lead,SE,Software Engineer / Software Developer,Front-end  розробка,TypeScript,Продуктова,3.0,6,В Україні,Київ чи область,0
22/11/2024 22:44,Працюю full-time,2700.0,Middle,SE,Software Engineer / Software Developer,Back-end  розробка,Java,Продуктова,2.0,6,В Україні,Київ чи область,0
22/11/2024 22:44,Працюю full-time,2100.0,Middle,QA,Manual QA,,,Продуктова,5.0,5,В Україні,Київ чи область,0
22/11/2024 22:58,Працюю full-time,3500.0,Middle,Analyst,BA (Business Analyst),,,Продуктова,3.0,6,В Україні,Київ чи область,0
22/11/2024 23:49,Працюю full-time,4510.0,Senior,SE,Software Engineer / Software Developer,Full Stack розробка,TypeScript,Сервісна (аутсорсингова),12.0,5,В Україні,Дніпро чи область,0
22/11/2024 23:55,Працюю full-time,7300.0,Head,Tech Leadership,Head of Engineering,,,Продуктова,1.0,5,В Україні,Київ чи область,0
22/11/2024 23:58,Працюю full-time,9200.0,CEO / C-level (Chief) / Director / VP,Tech Leadership,Director of Engineering,,Java,Продуктова,1.5,5,В Україні,Київ чи область,0
23/11/2024 00:01,Працюю full-time,7100.0,Architect,SE,Software Architect,,C# / .NET,Сервісна (аутсорсингова),15.0,5,"За кордоном, але планую повернутися",,0
23/11/2024 00:27,Працюю full-time,1800.0,Junior,SE,Software Engineer / Software Developer,Full Stack розробка,TypeScript,Аутстафінгова,1.5,5,В Україні,Львів чи область,0
23/11/2024 00:48,Працюю part-time,3340.0,Немає тайтлу,Agile Mgmt,Scrum Master,,,Продуктова,5.0,4,В Україні,Київ чи область,0
23/11/2024 02:51,Працюю full-time,6300.0,Senior,SE,Software Engineer / Software Developer,Back-end  розробка,C# / .NET,Сервісна (аутсорсингова),8.0,5,В Україні,Чернівці чи область,0
23/11/2024 05:12,Працюю full-time,3500.0,Senior,Analyst,BA (Business Analyst),,,Продуктова,5.0,5,"За кордоном, не планую повертатися",,0
23/11/2024 05:51,Працюю full-time,4000.0,Senior,Project Mgmt,Delivery Manager,,,Сервісна (аутсорсингова),2.0,6,В Україні,Хмельницький чи область,0
23/11/2024 06:16,Працюю full-time,4200.0,Senior,Project Mgmt,Project Manager,,,Сервісна (аутсорсингова),4.0,6,В Україні,Одеса чи область,0
23/11/2024 06:19,Працюю full-time,3800.0,Lead/Team Lead,SE,Software Engineer / Software Developer,Back-end  розробка,JavaScript,Продуктова,11.0,3,В Україні,Вінниця чи область,0
